,Company Name,Industry,Symbol,eps,bv,insider_h,inst_h,float_pc
131,Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,26.87,126.77,51.70600400000001,24.407999999999998,0.42055194350633607
132,Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB,35.25,150.773,58.592,38.034,0.33779744592878247
133,Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,115.14,1055.26,33.036998000000004,34.230998,0.704646897115322
134,E.I.D. Parry (India) Ltd.,CONSUMER GOODS,EIDPARRY,34.385,234.25,58.695,5.6539997,0.398117751352328
135,EIH Ltd.,CONSUMER SERVICES,EIHOTEL,-6.17,49.549,71.172,15.913,0.3132171487692748
136,EPL Ltd.,INDUSTRIAL MANUFACTURING,EPL,7.57,53.813,59.875,22.024,0.3933169597070934
137,Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS,-29.301,66.53,44.507000000000005,27.651999999999997,0.33574482432040026
138,Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,49.24,418.488,51.769,29.29,0.4855146824859334
139,Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,ELGIEQUIP,3.238,27.501,53.279996,22.486,0.5312140464603794
140,Emami Ltd.,CONSUMER GOODS,EMAMILTD,10.23,39.581,66.778,33.641,0.4479307292163839
141,Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE,36.95,253.192,75.0,21.294,0.25004520022776705
142,Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,5.436,38.609,51.333,20.120001000000002,0.5487375726009821
143,Equitas Holdings Ltd.,FINANCIAL SERVICES,EQUITAS,12.32,89.05,21.117,47.807997,0.7599626198560464
144,Eris Lifesciences Ltd.,PHARMA,ERIS,26.14,116.187,79.661006,14.762998999999999,0.25582942419510385
145,Escorts Ltd.,AUTOMOBILE,ESCORTS,91.98,511.854,52.085996,19.504999,0.32219565708039266
146,Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,9.53,85.631,50.9,29.535,0.49075308588235295
147,FDC Ltd.,PHARMA,FDC,17.72,102.538,79.716,7.312,0.2470341863633671
148,Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,8.31,82.631,6.637,57.8,0.9339979122288125
149,Fine Organic Industries Ltd.,CHEMICALS,FINEORG,39.25,238.571,75.0,17.082000999999998,0.24997547292889757
150,Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,FINCABLES,23.426,201.082,60.448,23.948999,0.43278597047000594
151,Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,FINPIPE,8.019,37.771,58.867000000000004,14.691,0.3852342844003473
152,Firstsource Solutions Ltd.,IT,FSL,5.13,40.214,6.6599995,73.04,0.41831878461845656
153,Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS,-1.45,81.061,6.4899996,68.89699999999999,0.6230416367948068
154,Future Consumer Ltd.,CONSUMER SERVICES,FCONSUMER,-2.37,4.409,54.028,9.094,0.5842473639181899
155,Future Retail Ltd.,CONSUMER SERVICES,FRETAIL,-46.66,53.335,46.472,11.746000500000001,0.6916400315471579
156,GAIL (India) Ltd.,OIL & GAS,GAIL,18.567,113.236,58.80800000000001,25.948998,0.3326817838284077
157,GE Power India Ltd.,INDUSTRIAL MANUFACTURING,GEPIL,10.313,137.038,68.821996,14.614000999999998,0.30769582044872584
158,GMM Pfaudler Ltd.,INDUSTRIAL MANUFACTURING,GMMPFAUDLR,50.19,278.555,59.559,11.366999999999999,0.40113425688387205
159,GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA,-4.792,-0.02,63.844,17.813000000000002,0.35315333785493497
160,Galaxy Surfactants Ltd.,CHEMICALS,GALAXYSURF,80.748,336.81,72.694,16.822,0.26145974593002924
161,Garden Reach Shipbuilders & Engineers Ltd.,INDUSTRIAL MANUFACTURING,GRSE,13.4,99.197,74.5,15.158,0.24133887666736503
162,Garware Technical Fibres Ltd.,TEXTILES,GARFIBRES,74.64,382.242,57.164,6.1739996,0.4530325634633479
163,General Insurance Corporation of India,FINANCIAL SERVICES,GICRE,11.246,283.442,85.78399399999999,9.428999600000001,0.14212392555859554
164,Gillette India Ltd.,CONSUMER GOODS,GILLETTE,100.599,285.018,79.764,11.411,0.19627487325534293
